name,height_in_cm,market_value_in_eur
Maxim De Cuyper,182,22000000.0
Kerim Alajbegovic,186,22000000.0
Matty Cash,185,22000000.0
Daniel Muñoz,180,22000000.0
Simon Adingra,175,22000000.0
Samuele Ricci,181,22000000.0
Fábio Silva,185,22000000.0
Zan Vipotnik,185,22000000.0
Ermedin Demirovic,185,22000000.0
Robert Sánchez,197,22000000.0
Mamadou Sarr,194,22000000.0
Paul Wanner,185,22000000.0
Breno Bidon,178,22000000.0
Franculino,186,22000000.0
Igor Matanovic,194,22000000.0
Trai Hume,180,22000000.0
Luis Henrique,181,22000000.0
Jhon Lucumí,187,22000000.0
Jaka Bijol,190,20000000.0
Kingsley Coman,181,20000000.0
Carlos Espí,194,20000000.0
Joshua Zirkzee,193,20000000.0
Joachim Andersen,192,20000000.0
Rocco Reitz,176,20000000.0
Lorenzo Lucca,201,20000000.0
Roger Fernandes,169,20000000.0
Lorenzo Bernasconi,190,20000000.0
Eliesse Ben Seghir,178,20000000.0
Kerem Aktürkoğlu,172,20000000.0
Mandela Keita,180,20000000.0
Dan Ballard,187,20000000.0
Nnamdi Collins,188,20000000.0
Lutsharel Geertruida,184,20000000.0
Andrea Cambiaso,182,20000000.0
Rudy Matondo,180,20000000.0
Min-jae Kim,190,20000000.0
Dorgeles Nene,174,20000000.0
Gianluca Prestianni,166,20000000.0
Guéla Doué,187,20000000.0
Joaquin Seys,178,20000000.0
Robin Le Normand,187,20000000.0
Emile Smith Rowe,182,20000000.0
Timothy Weah,183,20000000.0
Malang Sarr,183,20000000.0
Aleix García,173,20000000.0
Orri Óskarsson,186,20000000.0
Ismaël Doukouré,183,20000000.0
Equi Fernández,178,20000000.0
Mohamed Simakan,187,20000000.0
Lucas Da Cunha,174,20000000.0
Rodrigo Mendoza,182,20000000.0
Matthis Abline,182,20000000.0
Marcos Leonardo,177,20000000.0
Jack Grealish,180,20000000.0
Finn Azaz,185,20000000.0
Pavel Sulc,177,20000000.0
Ronald Araujo,192,20000000.0
Andy Diouf,187,20000000.0
Kévin Danois,183,20000000.0
Jaidon Anthony,183,20000000.0
Theo Hernández,184,20000000.0
Alexis Saelemaekers,180,20000000.0
Abdul Fatawu,177,20000000.0
Veljko Milosavljevic,192,20000000.0
Zion Suzuki,190,20000000.0
Darwin Núñez,185,20000000.0
Allan,174,20000000.0
Thiago Pitarch,179,20000000.0
Rodrigo Muniz,186,20000000.0
Leopold Querfeld,190,20000000.0
Jayden Addai,177,20000000.0
Johan Bakayoko,179,20000000.0
Youri Baas,188,20000000.0
Nicola Zalewski,175,20000000.0
Rodrigo Bentancur,187,20000000.0
Mohamed Amoura,170,20000000.0
Arne Engels,185,20000000.0
Tyrique George,181,20000000.0
Jayden Oosterwolde,189,20000000.0
Mike Maignan,191,20000000.0
Dani Vivian,184,20000000.0
Galeno,179,20000000.0
Cher Ndour,190,20000000.0
Pau Torres,192,20000000.0
Ismaëlo Ganiou,182,20000000.0
Raúl Asencio,184,20000000.0
Pedro,170,20000000.0
Afonso Moreira,176,20000000.0
David Affengruber,185,20000000.0
Jerdy Schouten,185,20000000.0
Evan Ferguson,188,20000000.0
Chema Andrés,190,20000000.0
Noahkai Banks,193,20000000.0
Williot Swedberg,187,20000000.0
Alex Iwobi,183,20000000.0
James Maddison,175,20000000.0
Mateus Mané,175,20000000.0
Harvey Elliott,170,20000000.0
Wouter Burger,191,20000000.0
Johnny Cardoso,186,20000000.0
Nathan Zézé,190,20000000.0
Carlos Forbs,169,20000000.0
Marcos Llorente,183,20000000.0
Loïc Badé,191,20000000.0
Borja Sainz,174,20000000.0
Kevin Danso,190,20000000.0
Takefusa Kubo,173,20000000.0
Tolu Arokodare,197,20000000.0
Vanja Milinković-Savić,202,20000000.0
Éder Militão,186,20000000.0
Amine Adli,180,20000000.0
Leroy Sané,183,20000000.0
Santiago Mouriño,186,20000000.0
Alejandro Grimaldo,171,20000000.0
Arthur Avom,173,20000000.0
Joane Gadou,195,20000000.0
Sergi Altimira,188,20000000.0
Ivan Toney,185,20000000.0
Billy Gilmour,170,20000000.0
Ibrahim Sangaré,191,20000000.0
Gabriel Gudmundsson,181,20000000.0
Randal Kolo Muani,187,20000000.0
Arthur Vermeeren,180,20000000.0
Carney Chukwuemeka,187,20000000.0
Armand Laurienté,177,19000000.0
Gerson,184,18000000.0
Jonas Urbig,189,18000000.0
Leandro Barreiro,174,18000000.0
Jeff Ekhator,188,18000000.0
Wilson Odobert,182,18000000.0
Konstantinos Tzolakis,193,18000000.0
Robinio Vaz,185,18000000.0
Pablo,184,18000000.0
Hiroki Ito,188,18000000.0
Beto,194,18000000.0
Ola Aina,184,18000000.0
Alberto Costa,186,18000000.0
Sidiki Chérif,188,18000000.0
Facundo Medina,184,18000000.0
Santiago Gimenez,180,18000000.0
Lukas Hornicek,198,18000000.0
Cucho Hernández,176,18000000.0
Andrei Rațiu,183,18000000.0
Vanderson,173,18000000.0
Alexander Sørloth,196,18000000.0
El Chadaille Bitshiabu,196,18000000.0
Paul Nebel,169,18000000.0
Hamza Igamane,181,18000000.0
Kristoffer Ajer,198,18000000.0
Sergiño Dest,173,18000000.0
Matt O'Riley,189,18000000.0
Leonardo Balerdi,188,18000000.0
Dayann Methalie,188,18000000.0
Aladji Bamba,181,18000000.0
Toti,187,18000000.0
Daniele Ghilardi,189,18000000.0
Konstantinos Mavropanos,194,18000000.0
Marc Casadó,172,18000000.0
Diego Coppola,193,18000000.0
Serge Gnabry,176,18000000.0
Yarek Gasiorowski,191,18000000.0
James McAtee,180,18000000.0
Lucas Hernández,184,18000000.0
Jake O'Brien,197,18000000.0
Emmanuel Fernandez,198,18000000.0
Jannik Schuster,190,18000000.0
Elye Wahi,181,18000000.0
Tammy Abraham,194,18000000.0
Óscar Mingueza,184,18000000.0
Guillaume Restes,188,18000000.0
Guglielmo Vicario,194,18000000.0
Patrik Schick,191,18000000.0
Samuel Chukwueze,172,18000000.0
Yunus Akgün,173,18000000.0
Douglas Luiz,177,18000000.0
Maximilian Mittelstädt,180,18000000.0
Javi Rodríguez,183,18000000.0
Waldemar Anton,189,18000000.0
Noussair Mazraoui,183,18000000.0
Wilson Isidor,184,18000000.0
Valentin Atangana,176,18000000.0
Fábio Vieira,170,18000000.0
Aleksandr Golovin,178,18000000.0
Kacper Potulski,195,18000000.0
Mykhaylo Mudryk,175,18000000.0
Ander Barrenetxea,175,18000000.0
Kader Meïté,193,18000000.0
Lucas Høgsberg,187,18000000.0
Jadon Sancho,180,18000000.0
Stefanos Tzimas,186,18000000.0
Lamare Bogarde,185,18000000.0
Dwight McNeil,183,18000000.0
Tim Iroegbunam,183,18000000.0
Mauro Júnior,171,18000000.0
Pietro Comuzzo,188,18000000.0
Mikey Moore,180,18000000.0
Roger Ibañez,186,18000000.0
Luciano Valente,189,18000000.0
Malcom,172,18000000.0
Leandro Trossard,172,18000000.0
Joe Rodon,193,18000000.0
Yann Gboho,178,18000000.0
Adrien Rabiot,191,18000000.0
Manuel Akanji,188,17000000.0
Youssef En-Nesyri,188,17000000.0
Arthur Theate,185,17000000.0
Gabriel Jesus,175,17000000.0
Matteo Gabbia,185,17000000.0
Ayase Ueda,182,17000000.0
Pepê,175,17000000.0
Konstantin Tyukavin,180,17000000.0
Eduardo Quaresma,185,17000000.0
Nilson Angulo,184,17000000.0
Fikayo Tomori,185,17000000.0
Wael Mohya,179,17000000.0
Zakaria El Ouahdi,171,17000000.0
Jakub Kamiński,179,17000000.0
Yan Couto,168,17000000.0
Dejan Kulusevski,186,17000000.0
Soungoutou Magassa,190,17000000.0
Kamaldeen Sulemana,174,17000000.0
Nadiem Amiri,180,17000000.0
Tyler Dibling,178,17000000.0
Conrad Harder,185,17000000.0
Tim Lemperle,187,17000000.0
Ritsu Doan,172,17000000.0
Promise David,195,17000000.0
Gedson Fernandes,183,16000000.0
Ezechiel Banzuzi,191,16000000.0
Emmanuel Agbadou,185,16000000.0
Vitaly Janelt,184,16000000.0
Esequiel Barco,166,16000000.0
Fotis Ioannidis,187,16000000.0
